ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2138-09-08,2138-Sep-08 23:41,5323275660000,8.6062205832,30982.3940994637,19251.2548225251,0.367762384,143.059567376,55016469.31252208,34185648.821201504,Earth
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2157-12-03,2157-Dec-03 17:48,5930300880000,4.2458309082,15284.991269407,9497.4991584824,1.6444271204,639.6821498356,246002794.582073548,152859048.3850410424,Juptr
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2170-11-10,2170-Nov-10 05:57,6338498220000,3.752796571,13510.0676557181,8394.6306497433,1.8228425235,709.0857416415,272693358.861024945,169443795.983016441,Juptr
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2185-09-13,2185-Sep-13 19:01,6806919660000,8.3173750452,29942.5501628245,18605.1362386728,0.2200717468,85.6079095052,32922264.568459316,20456946.6016219208,Earth
2000887,2000887,887 Alinda (A918 AA),Alinda,887,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000887,13.88,4.4519981645,9.9549705315,4451.9981644783,9954.9705314777,2.7663425515,6.1857299941,14606.2936579469,32660.6655184933,False,1910-01-04,1910-Jan-04 16:47,-1893136380000,6.8047888406,24497.2398263378,15221.6321576486,0.3205426946,124.6911081994,47952504.356220502,29796304.5339548476,Earth
2000887,2000887,887 Alinda (A918 AA),Alinda,887,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000887,13.88,4.4519981645,9.9549705315,4451.9981644783,9954.9705314777,2.7663425515,6.1857299941,14606.2936579469,32660.6655184933,False,1914-01-02,1914-Jan-02 20:24,-1767065760000,6.1066272577,21983.8581276746,13659.9145127209,0.211315815,82.201852035,31612395.82131405,19643031.90387189,Earth
2000887,2000887,887 Alinda (A918 AA),Alinda,887,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000887,13.88,4.4519981645,9.9549705315,4451.9981644783,9954.9705314777,2.7663425515,6.1857299941,14606.2936579469,32660.6655184933,False,1918-01-03,1918-Jan-03 12:57,-1640775780000,6.5135754194,23448.8715097255,14570.2168555847,0.2162417102,84.1180252678,32349299.251077274,20100922.4624594212,Earth
2000887,2000887,887 Alinda (A918 AA),Alinda,887,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000887,13.88,4.4519981645,9.9549705315,4451.9981644783,9954.9705314777,2.7663425515,6.1857299941,14606.2936579469,32660.6655184933,False,1922-01-03,1922-Jan-03 20:13,-1514519220000,8.1524064419,29348.6631909835,18236.1179699753,0.3248545068,126.3684031452,48597542.277180516,30197112.5123264808,Earth
2000887,2000887,887 Alinda (A918 AA),Alinda,887,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000887,13.88,4.4519981645,9.9549705315,4451.9981644783,9954.9705314777,2.7663425515,6.1857299941,14606.2936579469,32660.6655184933,False,1926-01-06,1926-Jan-06 17:45,-1388038500000,10.7038538763,38533.8739547768,23943.4507359556,0.4435387911,172.5365897379,66352458.410934957,41229505.8189661266,Earth
2000887,2000887,887 Alinda (A918 AA),Alinda,887,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000887,13.88,4.4519981645,9.9549705315,4451.9981644783,9954.9705314777,2.7663425515,6.1857299941,14606.2936579469,32660.6655184933,False,1966-01-20,1966-Jan-20 07:29,-124561860000,12.8240920609,46166.7314192976,28686.211531063,0.3793019906,147.5484743434,56742769.880520022,35258322.2536274236,Earth
